ts,coin,kraken,okx,bybit,spread_pct,short_on,long_on
2026-07-15T11:20:05+00:00,ETH,14.74,-2.33,nan,17.07,kraken,okx
2026-07-15T11:20:05+00:00,SOL,-16.74,4.31,nan,21.04,okx,kraken
2026-07-15T11:20:05+00:00,XRP,15.06,4.81,nan,10.26,kraken,okx
2026-07-15T11:30:10+00:00,BTC,8.76,6.87,nan,1.9,kraken,okx
2026-07-15T11:30:10+00:00,ETH,14.75,-2.87,nan,17.62,kraken,okx
2026-07-15T11:30:10+00:00,SOL,-16.73,4.35,nan,21.08,okx,kraken
2026-07-15T11:30:10+00:00,XRP,15.06,4.69,nan,10.37,kraken,okx
2026-07-15T11:40:15+00:00,BTC,8.75,6.33,nan,2.43,kraken,okx
2026-07-15T11:40:15+00:00,ETH,14.73,-3.3,nan,18.03,kraken,okx
2026-07-15T11:40:15+00:00,SOL,-16.71,4.44,nan,21.15,okx,kraken
2026-07-15T11:40:15+00:00,XRP,15.06,4.54,nan,10.51,kraken,okx
2026-07-15T11:50:21+00:00,BTC,8.76,5.88,nan,2.87,kraken,okx
2026-07-15T11:50:21+00:00,ETH,14.72,-3.5,nan,18.23,kraken,okx
2026-07-15T11:50:21+00:00,SOL,-16.73,4.36,nan,21.09,okx,kraken
2026-07-15T11:50:21+00:00,XRP,15.06,4.6,nan,10.45,kraken,okx
2026-07-15T12:00:26+00:00,BTC,9.77,5.53,nan,4.24,kraken,okx
2026-07-15T12:00:26+00:00,ETH,14.78,-3.69,nan,18.47,kraken,okx
2026-07-15T12:00:26+00:00,SOL,-9.44,4.18,nan,13.61,okx,kraken
2026-07-15T12:00:26+00:00,XRP,16.68,4.72,nan,11.95,kraken,okx
