ts,symbol,funding_pct_8h,annual_funding_pct,mark_price,hedgeable,go
2026-07-25T10:40:06+00:00,ETHUSD,0.00247,2.7,1857.06619453,True,False
2026-07-25T10:40:06+00:00,BTCUSD,0.00975,10.67,63987.19692452,True,False
2026-07-25T10:50:39+00:00,XRPUSD,0.01,10.95,1.09076553,True,False
2026-07-25T10:50:39+00:00,SOLUSD,0.01,10.95,73.91675682,True,False
2026-07-25T10:50:39+00:00,ETHUSD,0.00275,3.01,1856.50850272,True,False
2026-07-25T10:50:39+00:00,BTCUSD,0.00975,10.68,64006.89271106,True,False
2026-07-25T11:01:15+00:00,XRPUSD,0.01,10.95,1.09106019,True,False
2026-07-25T11:01:15+00:00,SOLUSD,0.01,10.95,73.95224699,True,False
2026-07-25T11:01:15+00:00,ETHUSD,0.00295,3.23,1857.51055232,True,False
2026-07-25T11:01:15+00:00,BTCUSD,0.00966,10.58,64029.13833972,True,False
2026-07-25T11:11:49+00:00,XRPUSD,0.01,10.95,1.09092682,True,False
2026-07-25T11:11:49+00:00,SOLUSD,0.01,10.95,73.99409944,True,False
2026-07-25T11:11:49+00:00,ETHUSD,0.00299,3.28,1858.03813188,True,False
2026-07-25T11:11:49+00:00,BTCUSD,0.00945,10.35,64028.94474268,True,False
2026-07-25T11:22:21+00:00,XRPUSD,0.01,10.95,1.09072649,True,False
2026-07-25T11:22:21+00:00,SOLUSD,0.01,10.95,73.93684673,True,False
2026-07-25T11:22:21+00:00,ETHUSD,0.00293,3.21,1858.12381342,True,False
2026-07-25T11:22:21+00:00,BTCUSD,0.00938,10.28,64058.19254215,True,False
2026-07-25T11:32:55+00:00,XRPUSD,0.01,10.95,1.09055871,True,False
2026-07-25T11:32:55+00:00,SOLUSD,0.01,10.95,73.94790349,True,False
2026-07-25T11:32:55+00:00,ETHUSD,0.00284,3.11,1858.09670452,True,False
2026-07-25T11:32:55+00:00,BTCUSD,0.00928,10.17,64076.94829638,True,False
2026-07-25T11:43:28+00:00,XRPUSD,0.01,10.95,1.08985543,True,False
2026-07-25T11:43:28+00:00,SOLUSD,0.01,10.95,73.9049535,True,False
2026-07-25T11:43:28+00:00,ETHUSD,0.00281,3.08,1857.25391509,True,False
2026-07-25T11:43:28+00:00,BTCUSD,0.00923,10.11,64028.07390987,True,False
2026-07-25T11:54:01+00:00,XRPUSD,0.01,10.95,1.0898554,True,False
2026-07-25T11:54:01+00:00,SOLUSD,0.01,10.95,73.90233846,True,False
2026-07-25T11:54:01+00:00,ETHUSD,0.00274,3.0,1858.06110203,True,False
2026-07-25T11:54:01+00:00,BTCUSD,0.00937,10.26,64049.71540826,True,False
2026-07-25T12:04:34+00:00,XRPUSD,0.01,10.95,1.08997686,True,False
2026-07-25T12:04:34+00:00,SOLUSD,0.01,10.95,73.90147658,True,False
2026-07-25T12:04:34+00:00,ETHUSD,0.00292,3.2,1857.47055409,True,False
2026-07-25T12:04:34+00:00,BTCUSD,0.00941,10.3,64051.14493427,True,False
2026-07-25T12:15:07+00:00,XRPUSD,0.01,10.95,1.09030173,True,False
2026-07-25T12:15:07+00:00,SOLUSD,0.01,10.95,73.9090666,True,False
2026-07-25T12:15:07+00:00,ETHUSD,0.00318,3.49,1857.66209168,True,False
2026-07-25T12:15:07+00:00,BTCUSD,0.00948,10.38,64036.53429162,True,False
2026-07-25T12:25:39+00:00,XRPUSD,0.01,10.95,1.09083681,True,False
2026-07-25T12:25:39+00:00,SOLUSD,0.01,10.95,73.9438027,True,False
2026-07-25T12:25:39+00:00,ETHUSD,0.00337,3.69,1857.24640986,True,False
2026-07-25T12:25:39+00:00,BTCUSD,0.00963,10.54,64025.60776863,True,False
