ts,inst_id,ccy,interval_h,funding_rate,cap,floor,at_cap_live,at_cap_sett,borrowable,borrow_rate,borrow_quota,perp_last,spot_last
2026-07-23T12:34:15+00:00,BARD-USDT-SWAP,BARD,2.0,-0.0045660345020443,0.01,-0.01,False,True,True,0.00630144,19200.0,0.1302,0.1318
2026-07-23T12:34:15+00:00,O-USD_UM_XPERP-310620,O,4.0,-0.01,0.01,-0.01,True,False,False,,0.0,0.5833,
2026-07-23T12:44:41+00:00,BARD-USDT-SWAP,BARD,2.0,-0.0042827630561198,0.01,-0.01,False,True,True,0.00630144,19200.0,0.1289,0.1307
2026-07-23T12:44:41+00:00,O-USD_UM_XPERP-310620,O,4.0,-0.01,0.01,-0.01,True,False,False,,0.0,0.5809,
2026-07-23T12:51:29+00:00,BARD-USDT-SWAP,BARD,2.0,-0.0040221234686677,0.01,-0.01,False,True,True,0.00630144,19200.0,0.1283,0.1296
2026-07-23T12:51:29+00:00,O-USDT-SWAP,O,2.0,-0.0053819913784048,0.01,-0.01,False,False,False,,0.0,0.5756,
2026-07-23T13:01:56+00:00,BARD-USDT-SWAP,BARD,2.0,-0.0036546466219501,0.01,-0.01,False,True,True,0.00624672,19200.0,0.1282,0.1301
2026-07-23T13:01:56+00:00,O-USDT-SWAP,O,2.0,-0.0051039650791833,0.01,-0.01,False,False,False,,0.0,0.5676,
2026-07-23T13:12:27+00:00,BARD-USDT-SWAP,BARD,2.0,-0.0032732886987689,0.01,-0.01,False,True,True,0.00624672,19200.0,0.127,0.1282
2026-07-23T13:12:27+00:00,O-USDT-SWAP,O,2.0,-0.0048097305120312,0.01,-0.01,False,False,False,,0.0,0.5728,
2026-07-23T13:22:55+00:00,BARD-USDT-SWAP,BARD,2.0,-0.0029598259114006,0.01,-0.01,False,True,True,0.00624672,19200.0,0.1276,0.129
2026-07-23T13:22:55+00:00,O-USDT-SWAP,O,2.0,-0.0045236821301379,0.01,-0.01,False,False,False,,0.0,0.5753,
2026-07-23T13:33:23+00:00,BARD-USDT-SWAP,BARD,2.0,-0.002561797883865,0.01,-0.01,False,True,True,0.00624672,19200.0,0.1274,0.1283
2026-07-23T13:33:23+00:00,O-USDT-SWAP,O,2.0,-0.004230428661402,0.01,-0.01,False,False,False,,0.0,0.5729,
2026-07-23T13:43:52+00:00,BARD-USDT-SWAP,BARD,2.0,-0.002275692424607,0.01,-0.01,False,True,True,0.00624672,19200.0,0.1271,0.1284
2026-07-23T13:43:52+00:00,O-USDT-SWAP,O,2.0,-0.0038701321188471,0.01,-0.01,False,False,False,,0.0,0.5803,
2026-07-23T13:54:20+00:00,BARD-USDT-SWAP,BARD,2.0,-0.0021062726494714,0.01,-0.01,False,True,True,0.00624672,19200.0,0.1276,0.129
2026-07-23T13:54:20+00:00,O-USDT-SWAP,O,2.0,-0.0036144827425139,0.01,-0.01,False,False,False,,0.0,0.5775,
2026-07-23T14:04:48+00:00,BARD-USDT-SWAP,BARD,2.0,-0.0020815245058108,0.01,-0.01,False,False,True,0.00591792,19200.0,0.127,0.1283
2026-07-23T14:04:48+00:00,O-USDT-SWAP,O,2.0,-0.003473915978864,0.01,-0.01,False,False,False,,0.0,0.576,
2026-07-23T14:15:15+00:00,BARD-USDT-SWAP,BARD,2.0,-0.0020789825498499,0.01,-0.01,False,False,True,0.00591792,19200.0,0.1259,0.1273
2026-07-23T14:15:15+00:00,O-USDT-SWAP,O,2.0,-0.0033394824601812,0.01,-0.01,False,False,False,,0.0,0.5675,
2026-07-23T14:25:43+00:00,BARD-USDT-SWAP,BARD,2.0,-0.002107518533873,0.01,-0.01,False,False,True,0.00591792,19200.0,0.1274,0.1292
2026-07-23T14:25:43+00:00,O-USDT-SWAP,O,2.0,-0.0031090537930377,0.01,-0.01,False,False,False,,0.0,0.568,
2026-07-23T14:36:12+00:00,BARD-USDT-SWAP,BARD,2.0,-0.0022764537858564,0.01,-0.01,False,False,True,0.00591792,19200.0,0.1286,0.1315
2026-07-23T14:36:12+00:00,O-USDT-SWAP,O,2.0,-0.0029451818321557,0.01,-0.01,False,False,False,,0.0,0.5555,
2026-07-23T14:46:40+00:00,BARD-USDT-SWAP,BARD,2.0,-0.0032936280504918,0.01,-0.01,False,False,True,0.00591792,19200.0,0.1295,0.1347
2026-07-23T14:46:40+00:00,O-USDT-SWAP,O,2.0,-0.0028423547457332,0.01,-0.01,False,False,False,,0.0,0.5583,
2026-07-23T14:57:08+00:00,BARD-USDT-SWAP,BARD,2.0,-0.0038839993048498,0.01,-0.01,False,False,True,0.00591792,19200.0,0.1297,0.1328
2026-07-23T14:57:08+00:00,O-USDT-SWAP,O,2.0,-0.0027822204067172,0.01,-0.01,False,False,False,,0.0,0.5625,
2026-07-23T15:07:37+00:00,BARD-USDT-SWAP,BARD,2.0,-0.0039828308029734,0.01,-0.01,False,False,True,0.00583584,19200.0,0.128,0.129
2026-07-23T15:07:37+00:00,O-USDT-SWAP,O,2.0,-0.0027475927093567,0.01,-0.01,False,False,False,,0.0,0.5628,
2026-07-23T15:18:05+00:00,BARD-USDT-SWAP,BARD,2.0,-0.0036854145310663,0.01,-0.01,False,False,True,0.00583584,19200.0,0.1275,0.1288
2026-07-23T15:18:05+00:00,O-USDT-SWAP,O,2.0,-0.0027221102517634,0.01,-0.01,False,False,False,,0.0,0.5654,
2026-07-23T15:28:33+00:00,BARD-USDT-SWAP,BARD,2.0,-0.0033829836396932,0.01,-0.01,False,False,True,0.00583584,19200.0,0.1276,0.1285
2026-07-23T15:28:33+00:00,O-USDT-SWAP,O,2.0,-0.0026623919333317,0.01,-0.01,False,False,False,,0.0,0.5649,
2026-07-23T15:39:02+00:00,BARD-USDT-SWAP,BARD,2.0,-0.0031156836525781,0.01,-0.01,False,False,True,0.00583584,19200.0,0.1267,0.1277
2026-07-23T15:39:02+00:00,O-USDT-SWAP,O,2.0,-0.0026090556547195,0.01,-0.01,False,False,False,,0.0,0.5676,
2026-07-23T15:49:30+00:00,BARD-USDT-SWAP,BARD,2.0,-0.0028307120982463,0.01,-0.01,False,False,True,0.00583584,19200.0,0.1272,0.1284
2026-07-23T15:49:30+00:00,O-USDT-SWAP,O,2.0,-0.0025468564518171,0.01,-0.01,False,False,False,,0.0,0.5741,
2026-07-23T15:59:59+00:00,BARD-USDT-SWAP,BARD,2.0,-0.0024574415354783,0.01,-0.01,False,False,True,0.00583584,19200.0,0.1267,0.1274
2026-07-23T15:59:59+00:00,O-USDT-SWAP,O,2.0,-0.002510445415449,0.01,-0.01,False,False,False,,0.0,0.5623,
2026-07-23T16:10:27+00:00,BARD-USDT-SWAP,BARD,2.0,-0.0021747025613013,0.01,-0.01,False,False,True,0.00575352,19200.0,0.1268,0.1277
2026-07-23T16:10:27+00:00,O-USDT-SWAP,O,2.0,-0.0024656140976086,0.01,-0.01,False,False,False,,0.0,0.5581,
2026-07-23T16:20:55+00:00,BARD-USDT-SWAP,BARD,2.0,-0.0019247174337587,0.01,-0.01,False,False,True,0.00575352,19200.0,0.1264,0.1279
2026-07-23T16:20:55+00:00,O-USDT-SWAP,O,2.0,-0.002444014819673,0.01,-0.01,False,False,False,,0.0,0.5546,
2026-07-23T16:31:24+00:00,BARD-USDT-SWAP,BARD,2.0,-0.0016871312598634,0.01,-0.01,False,False,True,0.00575352,19200.0,0.1276,0.1286
2026-07-23T16:31:24+00:00,O-USDT-SWAP,O,2.0,-0.002374666492714,0.01,-0.01,False,False,False,,0.0,0.5583,
2026-07-23T16:41:52+00:00,BARD-USDT-SWAP,BARD,2.0,-0.0015291533493635,0.01,-0.01,False,False,True,0.00575352,19200.0,0.1283,0.1295
2026-07-23T16:41:52+00:00,O-USDT-SWAP,O,2.0,-0.0023313386988779,0.01,-0.01,False,False,False,,0.0,0.5589,
2026-07-23T16:52:21+00:00,BARD-USDT-SWAP,BARD,2.0,-0.0015493226201491,0.01,-0.01,False,False,True,0.00575352,19200.0,0.1282,0.1295
2026-07-23T16:52:21+00:00,O-USDT-SWAP,O,2.0,-0.0022674184062893,0.01,-0.01,False,False,False,,0.0,0.5597,
2026-07-23T17:02:49+00:00,BARD-USDT-SWAP,BARD,2.0,-0.0017051097209531,0.01,-0.01,False,False,True,0.00572616,19200.0,0.1278,0.1299
2026-07-23T17:02:49+00:00,O-USDT-SWAP,O,2.0,-0.0022176759976743,0.01,-0.01,False,False,False,,0.0,0.5616,
